Category,Inclusion
accounting,N
airport,N
amusement_park,N
aquarium,N
art_gallery,N
atm,N
bakery,Y
bank,N
bar,Y
beauty_salon,N
bicycle_store,N
book_store,N
bowling_alley,N
bus_station,Y
cafe,Y
campground,N
car_dealer,N
car_rental,N
car_repair,N
car_wash,N
casino,N
cemetery,N
church,Y
city_hall,N
clothing_store,N
convenience_store,Y
courthouse,N
dentist,N
department_store,Y
doctor,N
drugstore,Y
electrician,N
electronics_store,N
embassy,N
fire_station,N
florist,N
funeral_home,N
furniture_store,N
gas_station,Y
grocery_or_supermarket,Y
gym,Y
hair_care,N
hardware_store,N
hindu_temple,N
home_goods_store,Y
hospital,N
insurance_agency,N
jewelry_store,N
laundry,N
lawyer,N
library,Y
light_rail_station,Y
liquor_store,Y
local_government_office,N
locksmith,N
lodging,N
meal_delivery,Y
meal_takeaway,Y
mosque,Y
movie_rental,N
movie_theater,Y
moving_company,N
museum,Y
night_club,Y
painter,N
park,Y
parking,Y
pet_store,N
pharmacy,Y
physiotherapist,N
plumber,N
police,Y
post_office,N
primary_school,Y
real_estate_agency,N
restaurant,Y
roofing_contractor,N
rv_park,N
school,Y
secondary_school,Y
shoe_store,N
shopping_mall,Y
spa,N
stadium,Y
storage,N
store,Y
subway_station,Y
supermarket,Y
synagogue,Y
taxi_stand,Y
tourist_attraction,Y
train_station,Y
transit_station,Y
travel_agancy,N
university,N
veterinary_care,N
zoo,N
